Hettie|Your first herd|My first cow belonged to my aunt. It followed her everywhere and refused to follow me at all.|How did you persuade it?|I borrowed her coat. By the time the cow noticed, we were friends. The coat never recovered.|A day off|I would like one morning when nobody needs feeding before I do.|Even the hens?|Especially the hens. They have had years to learn where the grain is.
Gwil|Working with wood|My father taught me to leave a young tree beside every stump. I thought he was making extra work.|Was he?|The first ones I planted are taller than the mill now. He was leaving work for somebody else.|Hettie's farm|Hettie lets me choose which jobs need doing first. Then she explains why I chose the wrong ones.|Do you argue?|Only until she hands me the right tool. We get a good deal done that way.
Odo|The fish you remember|I once hooked something so heavy I tied the line to the bridge. Spent an hour telling everyone it was a river king.|What was it?|My own lost bucket. Still the largest thing I have landed in public.|Waiting by the water|My brother used to fish from the other bank. We could spend a whole morning without saying a word.|Do you miss that?|Yes. Sometimes I still turn to tell him the fish are laughing at us.
Tolan|Before the uniform|I carried flour before I carried a spear. The sacks were heavier, but nobody hated seeing me arrive.|Why become a guard?|A regular wage. My little sister needed boots more than I needed to feel proud of my work.|Following orders|A shouted order sounds certain. That is useful when the person giving it has no idea what comes next.|What do you do then?|Watch the people it will hurt. They usually understand the order better than the officer does.
Serjeant Bram|Your old company|I learned every recruit's name before I learned how to shout properly. My serjeant thought I had my priorities wrong.|Did you change them?|No. A man listens differently when you know who he is.|The weight of rank|This badge belonged to somebody who could bring a whole patrol home without making a speech.|You admired him?|Still do. I polish it when I cannot work out what he would have done.
Doran|The black armor|Blackened steel shows less rust, and a careless polish leaves a bright mark. My old master could spot one across a yard.|Was he strict?|He believed a loose buckle was more dangerous than a fierce opponent. I have met both. He had a point.|A knight's supper|I learned to cook on patrol because nobody else would admit the porridge was burning.|What is your specialty?|Porridge that is not burning. You would be surprised how warmly it is received.
Elder Maddock|Your first journey|I left Millwood with two maps, three shirts and no spare socks. Rain taught me which of those mattered.|Did you go far?|As far as Thornwell before I bought socks. Much farther after I learned to ask for advice.|The names on maps|An old map calls the bend by our mill Widow's Reach. Nobody alive remembers whose widow she was.|Should the name change?|Perhaps. But I would like to learn her story before we rub out the last trace of it.
Pip|Listening through the caps|Heavy boots thump. Beetles tick. Rain makes so much noise under the caps that I can hardly think.|What do I sound like?|Quick, stop, quick. You look at everything. The ground keeps telling me you have found something new.|Your smallest friend|A beetle sleeps beneath my cap when the nights turn cold. It never asks first.|Do you mind?|It eats the mites. I think that is how beetles say thank you.
Mycella|The oldest ring|My mother taught me the old paths by their roots. The trees above them have changed twice since then.|Can you still find them?|With my feet. Your eyes look for a road. Mine wait for the earth to remember one.|Remembering the sky|When the dragons crossed overhead, their shadows cooled the whole ring. We would stop growing toward the sun for a moment.|Were you frightened?|Only the first time. Later I learned that a large shadow need not mean something cruel.
Bolete|Keeping the path open|I loosen the roots at the path's edge. They grow back every night, patient as anything.|Does that bother you?|No. They are doing their work. I am doing mine. We have a very polite disagreement.|The damp season|After a long dry spell, the first rain travels through all of us. Nobody can keep a secret then.|What sort of secret?|Who has been saving the sweetest rot. Do not look so shocked. You keep honey.
Truffle|The northern field|I tend the little caps where the ground is thin. They need shelter before they can give any.|How do you shelter a mushroom?|With a fallen leaf, carefully placed. Small things deserve a roof too.|A strange visitor|A fox once curled up beside me all winter. It thought I was part of its den.|Were you?|For that winter. It left a warm hollow and a great many fleas.
The Shroom King|Your crown|The ring put this crown on me after I listened through an entire argument without interrupting.|Was that all it took?|The argument lasted three wet seasons. I was not eager for another.|What the ring remembers|We keep the names of those who fed the soil before us. Nothing growing here stands alone.|Do humans have a place in that memory?|Those who tread gently do. Your kind are brief, Corin. Brief need not mean forgotten.
Calder|How the camp began|My cart lost an axle here nine years ago. I built a fire while I waited for help, and travellers kept stopping.|You never left?|I had shade, water and paying guests. It seemed rude to argue with a good accident.|Fishing at Forgefalls|The pools below Forgefalls have little shelves where the current slows. That is where I cast.|Why there?|Fish need a rest as much as travellers do. Sit quietly and let the river do the boasting.
Prue|Your father's work|Father never signed a stone. He said a wall ought to make you think of the house, not the mason.|How do you know which ones were his?|A small nick beneath the lowest corner. Apparently he wanted the wall to remember him even if nobody else did.|Starting again|I kept his tools wrapped for a year. Then a step broke outside a neighbour's door.|Did you mend it?|Badly, the first time. The second held. I think he would have been pleased I went back.
Toft|Your first shift|I went below with a new lamp and boots a size too large. The older miners filled the toes with spare cloth.|Did they tease you?|For months. They also checked my lamp at every turning. I understood that part later.|Opening the stall|I used to divide my last potion with whoever had forgotten theirs. Eventually I started bringing a box.|And charging for it?|Only after everyone began forgetting theirs on purpose. Friendship still gets an extra clean bandage.
Linna|The mill accounts|My first tally was wrong by one sack. I stayed up all night looking for it.|Did you find it?|Under the table, holding up a short leg. I have distrusted tidy explanations ever since.|A secret ambition|I would like to keep an account of things nobody buys. Birdsong, birthdays, the first warm morning.|Would anybody read it?|I would. It would be nice to finish a page without adding a total.
Wren|Learning remedies|Berta made me smell every jar before she let me read its label. I thought she was being difficult.|Was she?|One winter the labels all peeled off. Nobody missed a dose. I stopped complaining.|The stubborn plant|That little cutting came from a garden abandoned years ago. It flowered the day after I had nearly given up on it.|What did you change?|I moved it into the shade. It did not need more attention. It needed the right attention.
Bevan|Your first commission|My first paid job was a gate hinge. I made it thick enough to hold up a castle.|Did it work?|The post fell over. I learned to look at what my work would be attached to.|What you want to make|A cradle. Curved runners, no sharp corners, quiet enough not to wake a sleeping child.|That sounds unlike a forge.|Only if you think iron has to threaten somebody to be useful.
Isolde|Counting the ore|I can tell which crew filled a cart by how they stack it. The careful ones leave the tally where I can see it.|And the others?|Bury it under the heaviest lump. Then complain I take too long.|The missing names|I keep a second book with the names behind the numbers. A week's output will not tell you who worked with a bad hand.|Does anyone ask to see it?|Families do. That is reason enough to keep it.
Nazim|Your father's cistern|Father lined the cistern himself. Every bucketful we draw still passes the stones he set.|You must be proud.|I am. Though I wish he had taught me the trick of stopping a leak before he taught me how to boast about it.|Sharing water|A traveller once offered me a jewel for a drink. I gave him water and told him to keep the jewel.|Why?|He might need to buy another drink from someone less sensible.
Halima|The spice road|My mother could tell where a caravan had stopped by the smell of its canvas.|Can you?|Sometimes. Rain, smoke, cumin. Fear has no smell, whatever storytellers say. It shows in what people forget to unpack.|Your favourite spice|Cardamom. My mother put a little in tea when a guest looked too tired to tell their story.|Did it help?|Usually. Warm hands loosen a tongue better than questions do.
Tarek|That camel|The bad-tempered one carried me home with a broken ankle. Bit the man who tried to unload me too quickly.|You kept it?|Of course. Loyalty does not always have pleasant manners.|Caravan bells|Each family ties its bells a little differently. At night I can tell who is coming before I see their lanterns.|What does yours sound like?|An argument in a cupboard. I have been meaning to fix the third bell for six years.
Suhaila|Your daughter's loom|She weaves little blue birds into the borders. Says a blanket should promise somewhere cooler.|Do you weave too?|Not since my hands stiffened. I choose the thread and pretend not to notice when she changes the colours.|The evening well|We draw the last water slowly. People linger and tell each other what happened in the heat.|Even on uneventful days?|Especially then. A neighbour remembering your day is no small thing.
Idris|Your three sons|The eldest wants ships, the middle wants music, and the youngest wants whatever the middle wants.|Do you want them to stay?|I want them to come back with stories. Staying is only one way to keep a family close.|A fair bargain|My father taught me to leave a customer enough money for supper. A hungry customer remembers the wrong part of a bargain.|Do all traders agree?|Some call it foolish. Those traders rarely get invited to supper.
Rashida|Your first glass|A desert storm ruined my first batch. Fine grit blew straight into the cooling bowl.|Did you throw it away?|No. It sparkled in the sun. I sold it as something I had meant to do and spent months learning how to do it again.|Rival workshops|Forgewick glass has a certain heaviness. Very dependable. You could trust it with a bad-tempered guest.|Is that praise?|Do not tell Sela. We have both put years into this argument.
Bilal|Naming goats|I named the first goat Patience. It climbed onto my roof that afternoon.|What did you name the next one?|Ladder. I had begun to understand the arrangement.|A quiet morning|When the kids are asleep, I sit against the warm wall and listen to the herd breathe.|That sounds peaceful.|It is. Then Patience wakes up and eats something important.
Sella|Your stew|My mother thickened it with whatever the boats had failed to sell. I learned to cook by asking why nobody wanted a fish.|What was the answer?|Usually that it looked ugly. A terrible reason to waste supper.|Waiting for the boat|I know my husband's sail by its crooked patch. He says he will mend it properly next week.|You do not believe him?|I hope he does not. I can pick that patch out a mile beyond the point.
Ovid|The sound of town|Three taps and a scrape means someone is fitting a hinge. Long blows mean a blade. I learned by sweeping the workshops.|Do you still sweep?|Sometimes. People tell you things when they think you are listening to the floor.|A tune of your own|I have been writing a song with room for every trade in Forgewick.|How does it end?|I have not reached the bakers yet. They insist their verse should come before breakfast.
Jamila|Working the road|I used to keep my stock in a pack so heavy I had to sit down to turn around.|What changed?|I learned which things travellers actually needed. Then I learned they all needed them on the same afternoon.|A customer's kindness|A woman once paid me with a pair of knitted gloves. I thought I had made a terrible bargain in the desert.|Had you?|Not when I reached the highlands. I still have them. One thumb is blue.
Nerissa|Learning to swim|My aunt taught me in the shallows with a cork float tied to my waist. I refused to take it off for a week.|Even on land?|Especially on land. I thought it made me look experienced.|Reading the tide|My first ledger had tide marks in the margin. Customers thought they were decorations.|Why keep them there?|Because the sea decides when half my customers are paid. An account book should know who is really in charge.
Astrid|The first winter|I arrived with beautiful gloves that let every bit of wind through. Runa handed me a pair that looked like two potatoes.|Which pair did you keep?|The potatoes. Beauty is an expensive way to lose feeling in your fingers.|Feeding a town|A pot of soup makes people stand still long enough to notice who has not come home.|You keep track?|Somebody should. I save portions before anyone asks.
Colm|Your seat at the table|I used to eat standing up at work. One winter I realised I could remember the jobs but none of the meals.|So now you take your time?|I sit down. I taste things. It is a modest rebellion, but I recommend it.|The Copper Cup|A crowded room can be quiet if nobody requires you to perform for them.|Is that why you come here?|Bess knows when to leave a person alone. That is rarer than good cider.
Tessa|Your first audience|I played beside a fountain so the water would hide my mistakes. A child asked me to play the wrong bit again.|Did you?|Three times. It became the tune people asked for. I still owe that child a copper.|Taking requests|Everyone asks for something cheerful until I begin. Then they remember a sad song they love.|What do you choose?|The one they start humming before they finish asking.
Rowan the Hunter|Training Bramble|I taught him to follow a trail. He taught me that I leave a trail whenever I carry sausages.|Who learned faster?|He did. He also remembers the lesson longer.|Why you hunt|I know which clearings need leaving alone and which herds can spare an animal. Taking enough is harder than taking everything.|Who taught you that?|Ada. She asked whether I wanted a good winter or a good life.
Sverre|Your first blizzard|I tied myself to a fence post and waited. Spent the night cursing the fool who put a fence so far from shelter.|Who was it?|Me, the summer before. I build them closer together now.|A warm welcome|My mother kept spare mittens by the door. Different sizes, none of them matching.|For visitors?|For anyone trying to hide cold hands. Pride freezes faster than fingers.
Runa|Learning to cook|Astrid let me stir the soup when I was little. I thought that meant I had made it.|Did she correct you?|Not until I tried to put jam in the next pot. There are limits to encouragement.|The thaw|I like the first drip from the eaves. Everybody complains about the mud, but I listen for it all winter.|What do you do when it comes?|Open the door. Just for a minute. The house likes fresh air too.
Eira|The cider press|I inherited a press that leans left and a recipe that says a sensible amount of honey.|What is sensible?|That is what I am trying to find out. The bees have been very generous with advice and very stingy with honey.|A new flavour|I keep a bottle from every good batch, labelled with the weather that autumn.|Why the weather?|Apples remember the rain. I like being able to taste a year after everyone has stopped talking about it.
Fenton|Your toast|I once came home wearing somebody else's boots. Lost mine in a bog and traded a coat for the replacements.|Was it worth it?|I reached home. Dry boots and a road that brings you back is a toast I earned honestly.|An adventure worth telling|The best part of my longest journey was finding my sister waiting at the end of it.|Not the mountains?|The mountains did not make me supper. People forget to include supper in their stories.
Tallis|Learning rhythm|My teacher made me play beside a smith who kept dreadful time. Said a tune should survive an interruption.|Did yours?|Eventually. The smith began tapping along, and we both improved.|The unfinished verse|There is a verse for the glassworkers I cannot settle. Everything I write sounds too delicate.|What are they really like?|Loud, stubborn, wonderfully rude about bad glass. I should probably put that in.
Kip|Treasure on the shore|My first treasure was a brass button with a ship on it. I spent a month looking for the captain who lost it.|Did you find him?|Found a laundress with six more. I kept mine anyway. The ship still looks splendid.|The crab|It lives beneath the loose board. I put it back whenever somebody insists it is a problem.|Why keep it here?|It found the board before I did. That makes us neighbours, I think.
Ada|Meeting Rowan|He offered to carry my basket home. Bramble, who was very small then, stole a loaf out of it while we talked.|Did you let him carry it again?|Yes. I made him replace the loaf first. He still claims that was our first courtship expense.|An empty house|I like a quiet house for about an hour. Then I start putting things where Rowan will trip over them if he comes home late.|To scold him?|To hear him come in. There are less foolish methods, but this one also gets the baskets moved.
Bren|Elowen's accounts|I copied a story about Maelis for a neighbour once. Elowen asked me where the story came from.|Could you answer?|No. I had copied the words carefully and never thought to check whether any of them were true.|Learning to ask|Now I leave a blank space beneath every tale I write down.|What goes there?|The name of someone who was actually present. You would be surprised how much empty paper I own.
Berta|Teaching Wren|Wren asked why a remedy worked before she asked how much to use. I knew she would either be excellent or exhaust me.|Which was it?|Both. She still brings questions home. I leave a chair beside the fire for them.|An empty morning|For years I woke before sunrise to open the stall. My feet still try to take me there before breakfast.|What do you do instead?|Sit down until they remember I am retired. Then I go and visit anyway.
Della|The witch's visitors|My neighbour called Maelis wicked for ten years, then went to her when his daughter's fever would not break.|Did he change his mind?|He changed the subject. I thought his daughter getting well deserved a little more honesty.|Your little garden|I grow mint in a pot because I once let it into the garden. It took three summers to negotiate its surrender.|You talk to the plants?|Only the ambitious ones. They need to understand the boundaries.
Ewan|Notes in the margins|A reader drew a little furious face beside a king's tax decree. It told me more about the year than the decree did.|Do you leave notes too?|On separate paper. I want to argue with history, not make the next reader argue with me.|The book you want|A history written by the people who baked the bread while everybody else was making speeches.|Would it be very exciting?|People have crossed countries for a meal. I suspect the historians have missed rather a lot.
Fara|Broken glass|I broke my mother's favourite jug and carried every piece to Sela wrapped in my apron.|Could she mend it?|She made the pieces into a little window ornament. Mother said it caught more light than the jug ever did.|Keeping scraps|People leave broken things by my door now. Some mornings it looks as though a house has sneezed.|Do you find uses for all of them?|Not yet. I have learned that yet is a useful word.
Garrick|Knowing the hammers|The new apprentice strikes twice, hesitates, then strikes again. I used to find it maddening.|What changed?|One morning there was no hesitation. I felt absurdly proud of someone I had never met.|Before the workshops|This street was quieter when I was young. I complain about the noise, but I remember the winter two forges closed.|What was that like?|Too quiet. A working hammer tells you somebody will eat tonight.
Hester|Your first net|My grandmother cut a hole in the net I had just finished. I thought she was being cruel.|Why did she do that?|So I could mend it while I was warm, dry and not depending on it for supper.|A knot to remember|There is one knot I make exactly as she did. Slightly crooked, always sound.|Have you taught anyone?|Three neighbours and a boy who only wanted to tie his sister's door shut. I made him untie it first.
Junia|The lamp fund|I put a copper aside whenever I mend something instead of replacing it. The lamp will be paid for by old socks, mostly.|Does the shop know?|They need not. I intend to look very grand when I buy it.|The colour you chose|Amber. My room faces the wrong way for evening sunlight, and I have decided to correct the sun.|Will one lamp do that?|For the chair beside my window. I am not making unreasonable demands.
Kellan|Keeping time|My father had a clock that lost an hour whenever it rained. We were late to everything except droughts.|What happened to it?|I took it apart. Now it is always wrong, but in an understandable way.|The quiet hour|When the hammers stop for lunch, you can hear every spoon on the street.|Do you like that?|Yes. It sounds as though the whole town remembered to take care of itself.
Lysa|The crooked bird|I saved for that glass bird for months, then saw a perfect one at the same price.|Which did you choose?|The crooked one. It looks as though it has been listening to a very surprising story.|Making things|I carve little birds from fallen twigs. They mostly look like potatoes with opinions.|Will you sell them?|Not yet. My family has asked me to stop giving them away, which may be the first sign of a market.
Cinder|Keeping the fire|My grandmother could carry an ember from one house to another in a clay pot. A whole street shared her morning flame.|Did she teach you?|Yes. Keep the ash dry and never hurry. A small living thing deserves a steady hand.|Your name|I was named for the fire that kept our house warm through a dreadful winter.|A good name to have.|I think so. Though when someone calls for more cinders, I still look up.
Warden|The evening carts|His cart has a wheel that squeaks on every third turn. I hear it long before his boots reach the step.|Why does he not mend it?|He did once. I worried all evening. He lets it squeak a little now.|Packing supper|I used to pack what kept well. Now I add one thing he will be pleased to find.|What sort of thing?|An apple, a piece of cheese. Something that says the world contains more than stone and tired hands.
Ember|Coal in the bread|I complained to the baker until he let me watch a batch. The dust came in on my own coat.|Did you tell him?|Eventually. He still brushes the doorway when he sees me coming.|A clean corner|I keep one shelf covered with a cloth. A blue cup, a smooth pebble, a ribbon from my sister.|Why those things?|None of them have ever been useful. I like being reminded that they need not be.
Dagna|Fighting the dust|I once scrubbed this room from dawn until dark, then watched a single open window undo the whole day.|What did you do?|Sat down before I could start again. We had supper in a dusty room and survived perfectly well.|Learning to rest|I am trying to leave one task unfinished each evening.|Is it difficult?|Terribly. I keep choosing tasks I can finish before bed. I may need a larger task.
Lode|Sleeping by the forge|At first I stuffed wool in my ears. Then the silence kept me awake because I could not tell whether the night shift was safe.|What helped?|Learning their rhythm. Now a steady hammer is a lullaby, though a poor one to sing to a child.|The cup by your bed|It was a wedding gift. The handle rattles against the wall when the heavy hammer starts.|Why not move it?|My wife says the house is playing our song. Neither of us can sing, so this is an improvement.
Pike|The extra crust|My husband once shared his lunch with a new miner too shy to admit he had brought nothing.|You started packing more?|The next morning. He thinks I do not know. I think the new miner knows perfectly well.|Your own plans|I want to take a picnic somewhere I cannot hear a single cart.|What would you pack?|Less bread. For once I would like the basket to come home empty for an ordinary reason.
